,accuracy,log_loss,brier_score,roc_auc
RandomForest,0.5388323513658275,0.6908846181359912,0.24885148383534106,0.5441537278663315
GradientBoosting,0.5211569362613819,0.6974601024876144,0.25188050297435677,0.5381163860869166
XGBoost,0.5184788430637386,0.7067515526402217,0.25613442063331604,0.5290276678027565
LogisticRegression,0.5061596143545796,0.694676823475779,0.2507357071883506,0.5167992104749773
